Asal,Tujuan,ID KANTOR Tujuan,KPRK Tujuan,Tarif Kartu Pos (Rp)
Batam,Jakartapusat,10000,10000,14.500
Batam,Jakartabarat,11000,11000,14.500
Batam,Jakartaselatan,12000,12000,14.500
Batam,Jakartatimur,13000,13000,14.500
Batam,Jakartautara,14000,14000,14.500
Batam,Pulauseribu,14530,14000,21.000
Batam,Tangerang,15000,15000,17.000
Batam,Ciputat,15400,15400,17.000
Batam,Balaraja,15610,15000,17.000
Batam,Bogor,16000,16000,17.000
Batam,Depok,16400,16400,17.000
Batam,Ciampea,16620,16000,17.000
Batam,Cibinong,16900,16900,17.000
Batam,Bekasi,17000,17000,17.000
Batam,Cikarang,17500,17500,17.000
Batam,Babelan,17610,17000,17.000
Batam,Medan,20000,20000,14.000
Batam,Bandarbaru,20357,20000,15.500
Batam,Tebingtinggideli,20600,20600,18.000
Batam,Binjai,20700,20700,18.000
Batam,Batangserangan,20883,20700,19.000
Batam,Bandarkhalipah,20994,20600,19.000
Batam,Pematangsianta,21100,21100,18.000
Batam,Bahjambi,21153,21100,19.000
Batam,Kisaran,21200,21200,18.000
Batam,Indrapura,21256,21200,19.000
Batam,Tanjungbalai,21300,21200,19.000
Batam,Rantauprapat,21400,21400,18.000
Batam,Merbau,21452,21400,19.000
Batam,Aekkanopan,21457,21400,19.000
Batam,Kotapinang,21464,21400,19.000
Batam,Tanjungleidong,21475,21200,21.000
Batam,Kabanjahe,22100,22100,18.000
Batam,Bunturaja,22261,22100,21.000
Batam,Salak,22272,22100,21.000
Batam,Balige,22300,22300,18.000
Batam,Nainggolan,22394,22300,24.000
Batam,Ambarita,22395,22300,24.000
Batam,Tarutung,22400,22400,18.000
Batam,Doloksanggul,22457,22400,21.000
Batam,Sibolga,22500,22500,18.000
Batam,Barus,22564,22500,21.000
Batam,Padangsidempuan,22700,22700,18.000
Batam,Batangtoru,22738,22700,19.000
Batam,Gunungtua,22753,22700,21.000
Batam,Binanga,22755,22700,21.000
Batam,Gunungsitoli,22800,22800,18.000
Batam,Lahewa,22853,22800,19.000
Batam,Sirombu,22863,22800,19.000
Batam,Telukdalam,22865,22800,21.000
Batam,Hiliweto,22871,22800,19.000
Batam,Kayulaut,22952,22700,21.000
Batam,Bandaaceh,23000,23000,29.000
Batam,Indrapuri,23363,23000,30.500
Batam,Sabang,23500,23000,35.500
Batam,Meulaboh,23600,23600,33.000
Batam,Lamno,23657,23000,32.000
Batam,Alurbilie,23662,23600,34.500
Batam,Kampungaie,23694,23600,39.500
Batam,Tapaktuan,23700,23700,33.000
Batam,Blangpidie,23764,23700,34.500
Batam,Subulussalam,23782,23700,36.000
Batam,Pulaubanyak,23791,23700,36.000
Batam,Sigli,24100,24100,33.000
Batam,Luengputu,24184,24100,34.500
Batam,Bireuen,24200,24300,33.000
Batam,Lhokseumawe,24300,24300,30.000
Batam,Alueieputeh,24392,24300,31.500
Batam,Langsa,24400,24400,30.500
Batam,Bayeun,24452,24400,31.500
Batam,Bendahara,24472,24400,31.500
Batam,Angkup,24562,24300,33.000
Batam,Janarata,24582,24300,33.000
Batam,Kutacane,24600,24600,37.500
Batam,Blangkejeran,24653,24600,40.500
Batam,Padang,25000,25000,18.500
Batam,Sikakap,25391,25000,25.000
Batam,Sioban,25392,25000,25.000
Batam,Muarasiberut,25393,25000,25.000
Batam,Muarasikabaluan,25394,25000,25.000
Batam,Pariaman,25500,25500,21.500
Batam,Kampungdalam,25552,25500,22.500
Batam,Painan,25600,25600,21.500
Batam,Tuapejat,25700,25000,25.000
Batam,Bukitinggi,26100,26100,21.500
Batam,Baso,26192,26100,24.500
Batam,Payakumbuh,26200,26200,21.500
Batam,Dangungdangung,26253,26200,22.500
Batam,Lubuksikaping,26300,26300,21.500
Batam,Airbangis,26373,26300,24.500
Batam,Padangpanjang,27100,27100,21.500
Batam,Batusangkar,27200,27100,22.500
Batam,Solok,27300,27300,21.500
Batam,Alahanpanjang,27371,27300,22.500
Batam,Sawahlunto,27400,27400,21.500
Batam,Muarobodipalangki,27561,27400,22.500
Batam,Kotabaru,27681,27400,24.500
Batam,Lubukgadang,27778,27300,24.500
Batam,Pekanbaru,28000,28000,14.000
Batam,Pangkalankerinci,28300,28000,17.500
Batam,Bangkinang,28500,28500,17.000
Batam,Daludalu,28558B1,28500,20.000
Batam,Bengkalis,28700,28800,23.000
Batam,Telukbelitung,28752,28800,23.000
Batam,Selatpanjang,28753,28800,23.000
Batam,Bantan,28754B1,28800,23.000
Batam,Sungaipakning,28761,28800,23.000
Batam,Batupanjang,28781,28800,23.000
Batam,Dumai,28800,28800,17.000
Batam,Minas,28885,28000,17.500
Batam,Baganbatu,28992,28800,20.000
Batam,Tanjungpinang,29100,29100,10.000
Batam,Kijang,29151,29100,21.000
Batam,Tambelan,29193,29100,36.500
Batam,Tembilahan,29200,29200,17.000
Batam,Khairiahmandah,29254,29200,23.000
Batam,Sungaiguntung,29255,29200,23.000
Batam,Pulauburung,29256,29200,23.000
Batam,Kualaenok,29271,29200,23.000
Batam,Pulaukijang,29273,29200,23.000
Batam,Kotabaruseberida,29274,29200,23.000
Batam,Sapat,29281,29200,23.000
Batam,Kualalahang,29282,29200,23.000
Batam,Rengat,29300,29300,17.000
Batam,Baserah,29361,29300,20.000
Batam,Batam,29400,29400,3.000
Batam,Tanjungbatu,29662,29400,4.500
Batam,Moro,29663,29400,4.500
Batam,Meral,29664,29400,4.500
Batam,Serasan,29781,29100,36.500
Batam,Sedanau,29782,29100,35.500
Batam,Ranai,29783,29100,35.500
Batam,Midai,29784,29100,36.500
Batam,Terempa,29791,29100,36.500
Batam,Letung,29792,29100,36.500
Batam,Dabosingkep,29871,29100,29.500
Batam,Senayang,29873,29100,30.500
Batam,Palmatak,29997B1,29100,36.500
Batam,Palembang,30000,30000,16.000
Batam,Airsugihankanan,30656,30000,19.000
Batam,Indralaya,30662,30000,17.500
Batam,Babatsumatera,30752,30000,19.000
Batam,Airsaleh,30773,30000,19.000
Batam,Prabumulih,31100,31100,20.500
Batam,Gelumbang,31171,31100,23.500
Batam,Pendopo,31211,31100,22.000
Batam,Muaraenim,31300,31300,20.500
Batam,Lahat,31400,31400,20.500
Batam,Pagaralam,31500,31400,22.000
Batam,Muarapinang,31592,31400,23.500
Batam,Lubuklinggau,31600,31600,20.500
Batam,Binginteluk,31655,31600,23.500
Batam,Airbeliti,31664,31600,23.500
Batam,Baturaja,32100,32100,25.500
Batam,Muaraduakisam,32172,32100,28.500
Batam,Belitang,32182,32100,28.500
Batam,Pangkalpinang,33100,33100,22.000
Batam,Baturusa,33172,33100,23.000
Batam,Payung,33178,33100,25.000
Batam,Koba,33181,33100,23.000
Batam,Kelapa,33364,33100,25.000
Batam,Tanjungpandan,33400,33400,22.500
Batam,Gantung,33462,33400,24.000
Batam,Metro,34100,34100,22.500
Batam,Bandaragung,34163,34100,26.000
Batam,Batanghari,34181,34100,26.000
Batam,Kotabumi,34500,34500,28.000
Batam,Banjit,34566,34500,31.500
Batam,Kenali,34572,34500,31.500
Batam,Krui,34574,34500,31.500
Batam,Dayamurni,34592,34500,29.500
Batam,Dwiwargatunggaljaya,34595,34500,31.500
Batam,Simpangpematang,34598,34500,31.500
Batam,Bandarlampung,35000,35000,18.000
Batam,Gedongtataan,35371,35000,19.000
Batam,Gadingrejo,35372,35000,19.000
Batam,Ambarawalampung,35376,35000,19.000
Batam,Gisting,35378,35000,21.000
Batam,Bakauheni,35592,35000,21.000
Batam,Jambi,36000,36000,20.500
Batam,Kumpeh,36371,36000,23.500
Batam,Kualatungkal,36500,36000,23.500
Batam,Dendang,36563,36000,23.500
Batam,Bajubang,36652,36000,23.500
Batam,Sungaipenuh,37100,37100,23.000
Batam,Hiang,37171,37100,24.500
Batam,Muarabungo,37200,37200,23.000
Batam,Alaiilir,37256,37200,24.500
Batam,Bangko,37300,37200,26.500
Batam,Limun,37383,37200,26.500
Batam,Bengkulu,38000,38000,22.500
Batam,Lubukpinang,38367,38000,26.000
Batam,Airsebakul,38381,38000,24.000
Batam,Kedurang,38557,38000,26.000
Batam,Bintuhan,38563,38000,26.000
Batam,Cahayanegeri,38577,38000,26.000
Batam,Argamakmur,38600,38000,26.000
Batam,Curup,39100,39100,26.500
Batam,Muaraaman,39164,39100,27.000
Batam,Kepahiang,39172,39100,27.000
Batam,Bandung,40000,40000,18.000
Batam,Ujungberung,40100,40100,20.500
Batam,Cimahi,40500,40500,18.000
Batam,Soreang,40900,40900,18.000
Batam,Purwakarta,41100,41100,18.000
Batam,Subang,41200,41200,20.500
Batam,Karawang,41300,41300,18.000
Batam,Serang,42100,42100,18.000
Batam,Baros,42173,42100,18.500
Batam,Pandeglang,42200,42200,20.500
Batam,Rangkasbitung,42300,42300,20.500
Batam,Cilegon,42400,42400,18.000
Batam,Sukabumi,43100,43100,18.000
Batam,Bojonglopang,43171,43100,21.000
Batam,Cianjur,43200,43200,20.500
Batam,Garut,44100,44100,20.500
Batam,Cirebon,45100,45100,18.000
Batam,Arjawinangun,45162,45100,18.500
Batam,Indramayu,45200,45200,20.500
Batam,Sumedang,45300,45300,20.500
Batam,Majalengka,45400,45400,20.500
Batam,Kuningan,45500,45500,20.500
Batam,Tasikmalaya,46100,46100,20.000
Batam,Bantarkalong,46187,46100,21.000
Batam,Ciamis,46200,46200,20.000
Batam,Banjar,46300,46300,22.500
Batam,Cijulang,46394,46300,24.000
Batam,Semarang,50000,50000,20.500
Batam,Ungaran,50500,50500,20.500
Batam,Salatiga,50700,50700,23.000
Batam,Pekalongan,51100,51100,23.000
Batam,Bojongpekalongan,51156,51100,24.500
Batam,Bandarsidayu,51254,51100,24.500
Batam,Kendal,51300,51300,21.000
Batam,Tegal,52100,52100,26.500
Batam,Adiwerna,52194,52100,27.500
Batam,Brebes,52200,52200,25.000
Batam,Pemalang,52300,52300,23.000
Batam,Purwokerto,53100,53100,24.000
Batam,Cilacap,53200,53200,20.000
Batam,Purbalingga,53300,53300,23.000
Batam,Banjarnegara,53400,53400,23.000
Batam,Purworejo,54100,54100,24.500
Batam,Kebumen,54300,54300,24.500
Batam,Yogyakarta,55000,55000,20.500
Batam,Banguntapan,55197,55000,22.000
Batam,Berbah,55573,55000,22.000
